Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
28.01.2015 17:46;253.99;254.09;253.99;254.09;11.9;3023.42;254.07;
28.01.2015 17:47;253.89;253.89;253.89;253.89;0.12;30.47;253.89;
28.01.2015 17:48;254.09;254.25;254.09;254.25;10.8;2746.55;254.24;
28.01.2015 17:49;254.25;254.25;254.25;254.25;1.97;500.87;254.25;
28.01.2015 17:50;254.25;254.37;254.25;254.34;12.77;3247.89;254.34;
28.01.2015 17:51;254.11;254.13;254.11;254.13;0.5;127.06;254.12;
28.01.2015 17:52;254.36;254.36;254.17;254.17;2.72;691.38;254.22;
28.01.2015 17:53;254.12;254.12;254.12;254.12;0.12;29.88;254.12;
28.01.2015 17:54;254.33;254.33;254.33;254.33;0.04;10.79;254.33;
28.01.2015 17:55;254.36;254.36;254.36;254.36;0.15;38.52;254.36;
28.01.2015 17:56;254.11;254.34;254.11;254.11;1.12;284.77;254.25;
28.01.2015 17:57;254.29;254.29;253.77;253.77;1.78;452.76;254.16;
28.01.2015 17:58;253.79;254.33;253.74;254.31;3.64;924.39;254.15;
28.01.2015 17:59;0;0;0;0;0;0;0;
28.01.2015 18:00;254.19;254.22;252.3;254.19;15.5;3935.37;253.84;
28.01.2015 18:01;0;0;0;0;0;0;0;
28.01.2015 18:02;253.78;254.03;253.77;253.99;4.02;1020.47;253.85;
28.01.2015 18:03;253.95;253.95;252.73;253.91;0.67;169.14;253.82;
28.01.2015 18:04;253.89;253.89;253.83;253.83;3.74;949.47;253.87;
28.01.2015 18:05;252.81;252.81;252;252;42.38;10687.59;252.2;
28.01.2015 18:06;252.66;252.66;252.64;252.66;1.23;310.76;252.65;
28.01.2015 18:07;252.66;252.66;252.58;252.58;5.05;1274.89;252.64;
28.01.2015 18:08;252.58;252.59;252.58;252.58;40.21;10156.01;252.59;
28.01.2015 18:09;252.15;252.16;252.13;252.16;6.16;1552.06;252.14;
28.01.2015 18:10;252.5;252.5;251.02;251.02;19.17;4825.19;251.68;
28.01.2015 18:11;251.71;251.71;250.41;251;28.14;7060.22;250.92;
28.01.2015 18:12;250.83;251.72;249.51;249.52;22.09;5524.93;250.06;
28.01.2015 18:13;251.02;251.02;248.01;249.25;35.41;8813.75;248.91;
28.01.2015 18:14;249;249.25;248;248;119.6;29686.59;248.22;
28.01.2015 18:15;249;249.23;249;249.02;4.04;1006.78;249.01;
28.01.2015 18:16;249.02;250.36;249.01;250.11;22.2;5541.79;249.66;
28.01.2015 18:17;250.11;250.36;249.3;249.32;5.77;1442.4;250.01;
28.01.2015 18:18;249.33;250.31;247.5;250;147.88;36682.86;248.06;
28.01.2015 18:19;249.92;249.94;249.92;249.94;0.16;39.99;249.92;
28.01.2015 18:20;249.91;249.91;249.88;249.88;0.34;84.94;249.89;
28.01.2015 18:21;249.87;249.87;249.84;249.84;0.5;125.77;249.86;
28.01.2015 18:22;249.84;249.84;248.51;249.82;1.62;405.3;249.65;
28.01.2015 18:23;249.97;249.97;249.95;249.95;0.46;115.68;249.95;
28.01.2015 18:24;249.85;249.99;248.59;249.99;3.45;860.66;249.83;
28.01.2015 18:25;249.97;249.97;248.61;248.61;1.33;329.81;248.74;
28.01.2015 18:26;249.62;249.95;248.53;249.95;1.74;435.52;249.69;
28.01.2015 18:27;0;0;0;0;0;0;0;
28.01.2015 18:28;249.99;249.99;249.88;249.99;1.04;259.43;249.98;
