Date;CNY
08.03.15 0:00;6,2625
09.03.15 0:00;6,264
10.03.15 0:00;6,262
11.03.15 0:00;6,2623
12.03.15 0:00;6,2624
13.03.15 0:00;6,2595
14.03.15 0:00;6,2595
15.03.15 0:00;6,2595
16.03.15 0:00;6,2625
17.03.15 0:00;6,2495
18.03.15 0:00;6,2294
19.03.15 0:00;6,196
20.03.15 0:00;6,2052
21.03.15 0:00;6,2052
22.03.15 0:00;6,2052
23.03.15 0:00;6,214
24.03.15 0:00;6,2051
25.03.15 0:00;6,2121
26.03.15 0:00;6,2108
27.03.15 0:00;6,215
28.03.15 0:00;6,215
29.03.15 0:00;6,215
30.03.15 0:00;6,207
31.03.15 0:00;6,1995
01.04.15 0:00;6,1985
02.04.15 0:00;6,197
03.04.15 0:00;6,1935
04.04.15 0:00;6,1935
05.04.15 0:00;6,1935
06.04.15 0:00;6,1935
07.04.15 0:00;6,196
08.04.15 0:00;6,2025
09.04.15 0:00;6,2055
10.04.15 0:00;6,2085
11.04.15 0:00;6,2085
12.04.15 0:00;6,2085
13.04.15 0:00;6,2167
14.04.15 0:00;6,2115
15.04.15 0:00;6,2052
16.04.15 0:00;6,1962
17.04.15 0:00;6,1978
18.04.15 0:00;6,1978
19.04.15 0:00;6,1978
20.04.15 0:00;6,201
21.04.15 0:00;6,201
22.04.15 0:00;6,194
23.04.15 0:00;6,197
24.04.15 0:00;6,1935
25.04.15 0:00;6,1935
26.04.15 0:00;6,1935
27.04.15 0:00;6,219
28.04.15 0:00;6,204
29.04.15 0:00;6,1993
